timestamp,GLOBAL_POSITION_INT.time_boot_ms,GLOBAL_POSITION_INT.lat,GLOBAL_POSITION_INT.lon,GLOBAL_POSITION_INT.alt,GLOBAL_POSITION_INT.relative_alt,GLOBAL_POSITION_INT.vx,GLOBAL_POSITION_INT.vy,GLOBAL_POSITION_INT.vz,GLOBAL_POSITION_INT.hdg,ATTITUDE.time_boot_ms,ATTITUDE.roll,ATTITUDE.pitch,ATTITUDE.yaw,ATTITUDE.rollspeed,ATTITUDE.pitchspeed,ATTITUDE.yawspeed,VFR_HUD.airspeed,VFR_HUD.groundspeed,VFR_HUD.heading,VFR_HUD.throttle,VFR_HUD.alt,VFR_HUD.climb
1429524830.27199984,,,,,,,,,,,,,,,,,0.0,0.147058933973,347,0,311.619842529,-0.0927012562752
1429524830.28900003,1498108,476028038,85340916,411044,-6635,4,-15,9,34747,,,,,,,,,,,,,
1429524830.56699991,,,,,,,,,,1498497,0.0169111955911,-0.00915055442601,-0.218851000071,0.0233034044504,-0.00641758181155,0.000240735709667,0.0,0.170421943069,347,0,311.619842529,-0.0944991782308
1429524831.15699983,,,,,,,,,,1498997,0.039584942162,-0.00798319093883,-0.218443289399,0.0336048826575,0.00370738143101,0.00181143544614,0.0,0.159856706858,347,0,311.619842529,-0.0940163508058
1429524831.22300005,1499118,476028037,85340908,410991,-6688,0,-13,9,34748,,,,,,,,,,,,,
1429524831.49099994,,,,,,,,,,1499507,0.0589130558074,-0.00516166072339,-0.218098789454,-0.0471954643726,-0.00727477809414,0.00111286155879,0.0,0.113079890609,347,0,311.619842529,-0.0982874557376
1429524832.14299989,,,,,,,,,,1500007,0.050694450736,-0.0061601488851,-0.218371957541,-0.0522549338639,-0.0203693863004,-0.000110497698188,,,,,,
1429524832.24399996,1500118,476028039,85340913,410999,-6679,0,-10,9,34749,,,,,,,,0.0,0.110748767853,347,0,311.619842529,-0.10353654623
1429524832.55900002,,,,,,,,,,1500517,0.0484097115695,-0.00628615776077,-0.218047320843,-0.00966404005885,0.00214716396295,6.34919852018e-05,0.0,0.0827822759748,347,0,311.619842529,-0.0979254022241
1429524833.04600000,,,,,,,,,,1501017,0.0520807281137,-0.00580600835383,-0.218080028892,-0.0107097690925,0.00790501385927,-0.00238125119358,,,,,,
1429524833.06200004,,,,,,,,,,,,,,,,,0.0,0.0780038908124,347,0,311.619842529,-0.0997402817011
1429524833.17599988,1501128,476028037,85340916,411001,-6678,-2,-7,10,34750,,,,,,,,,,,,,
1429524833.54799986,,,,,,,,,,1501527,0.0531366467476,-0.00553451571614,-0.217993363738,0.0194840095937,-0.00169080891646,0.000584369525313,0.0,0.0765026509762,347,0,311.619842529,-0.0989219099283
1429524834.07200003,,,,,,,,,,1502037,0.0564192272723,-0.00484930397943,-0.217895507812,0.01843563281,0.0018029876519,0.000233614817262,,,,,,
1429524834.16100001,1502128,476028035,85340911,410966,-6712,-5,-8,10,34751,,,,,,,,0.0,0.0931645408273,347,0,311.619842529,-0.100348263979
1429524834.55099988,,,,,,,,,,1502547,0.0586795397103,-0.00484732724726,-0.217814430594,0.00604530796409,0.00878526922315,-0.000117225572467,0.0,0.0965064615011,347,0,311.619842529,-0.10347289592
1429524835.10899997,,,,,,,,,,1503057,0.0574477016926,-0.0051810410805,-0.217916339636,-0.0154223665595,-0.000991990673356,0.000928208231926,,,,,,
1429524835.25899982,,,,,,,,,,,,,,,,,0.0,0.0922394320369,347,0,311.619842529,-0.10742560029
1429524835.34699988,1503128,476028035,85340910,410892,-6787,-4,-7,10,34751,,,,,,,,,,,,,
1429524835.59599996,,,,,,,,,,1503567,0.0523564480245,-0.00557530019432,-0.21787571907,-0.0412532314658,-0.00186403712723,-0.000294975936413,,,,,,
1429524835.72599983,,,,,,,,,,,,,,,,,0.0,0.0988229736686,347,0,311.619842529,-0.109487369657
1429524836.07699990,,,,,,,,,,1504067,0.0523145236075,-0.00542161427438,-0.217669814825,0.0158199761063,-0.00168857758399,5.3096562624e-05,,,,,,
1429524836.17799997,,,,,,,,,,,,,,,,,0.0,0.091781668365,347,0,311.619842529,-0.109199672937
1429524836.27900004,1504138,476028032,85340909,410880,-6799,-6,-6,10,34752,,,,,,,,,,,,,
1429524836.61699986,,,,,,,,,,1504567,0.0561202168465,-0.00578056043014,-0.217367723584,0.00291016953997,-0.00186710699927,-0.000819802284241,0.0,0.056091748178,347,0,311.619842529,-0.108764432371
1429524837.06799984,,,,,,,,,,1505067,0.0440017357469,-0.00743677886203,-0.217430874705,0.00901755876839,0.00597897917032,-0.000646956264973,0.0,0.0446439012885,347,0,311.619842529,-0.109429821372
1429524837.29499984,1505138,476028044,85340913,410881,-6798,0,-4,11,34754,,,,,,,,,,,,,
1429524837.67899990,,,,,,,,,,1505577,0.0534388832748,-0.00609455537051,-0.217310547829,0.0153025183827,0.000922904699109,0.00127215497196,,,,,,
1429524837.79600000,,,,,,,,,,,,,,,,,0.0,0.0382466055453,347,0,311.619842529,-0.112955600023
1429524838.14800000,,,,,,,,,,1506087,0.0515401139855,-0.00548863317817,-0.217269420624,-0.00599248055369,-0.00291406014003,0.00284152850509,0.0,0.0569481551647,347,0,311.619842529,-0.116245828569
1429524838.31200004,1506138,476028037,85340919,410818,-6860,-5,-2,11,34755,,,,,,,,,,,,,
1429524838.61500001,,,,,,,,,,1506587,0.0531490854919,-0.00417378218845,-0.217254981399,-0.00267553771846,-0.00028870953247,0.000397054478526,,,,,,
1429524838.73000002,,,,,,,,,,,,,,,,,0.0,0.100522249937,347,0,311.619842529,-0.116204708815
1429524839.14400005,,,,,,,,,,1507087,0.0523988828063,-0.00260452111252,-0.21689273417,0.0379937589169,7.16804061085e-05,-0.000301118940115,0.0,0.179710671306,347,0,311.619842529,-0.119294129312
1429524839.24699998,1507142,476028013,85340936,410682,-6996,-17,3,11,34756,,,,,,,,,,,,,
1429524839.59200001,,,,,,,,,,1507587,0.0521644726396,-0.00247394363396,-0.217240899801,-0.00250144232996,0.00198869849555,4.61600720882e-05,0.0,0.182567805052,347,0,311.619842529,-0.122895166278
1429524840.16100001,,,,,,,,,,1508087,0.0528651289642,-0.00493733538315,-0.217559665442,-0.00564772309735,-0.00169062288478,0.00213824026287,,,,,,
1429524840.31499982,,,,,,,,,,,,,,,,,0.0,0.122280746698,347,0,311.619842529,-0.126042023301
